ZipCode,City,County
16120,ENON VALLEY,LAWRENCE
16127,GROVE CITY,MERCER
16130,HADLEY,MERCER
16131,HARTSTOWN,CRAWFORD
16132,HILLSVILLE,LAWRENCE
16133,JACKSON CENTER,MERCER
16134,JAMESTOWN,MERCER
16136,KOPPEL,BEAVER
16137,MERCER,MERCER
16140,NEW BEDFORD,LAWRENCE
16141,NEW GALILEE,BEAVER
16142,NEW WILMINGTON,LAWRENCE
16143,PULASKI,LAWRENCE
16151,SHEAKLEYVILLE,MERCER
16153,STONEBORO,MERCER
16154,TRANSFER,MERCER
16160,WEST PITTSBURG,LAWRENCE
16161,WHEATLAND,MERCER
16172,NEW WILMINGTON,LAWRENCE
16213,CALLENSBURG,CLARION
16214,CLARION,CLARION
16217,COOKSBURG,FOREST
16218,COWANSVILLE,ARMSTRONG
16220,CROWN,CLARION
16225,FISHER,CLARION
16226,FORD CITY,ARMSTRONG
16228,FORD CLIFF,ARMSTRONG
16229,FREEPORT,ARMSTRONG
16230,HAWTHORN,CLARION
16238,MANORVILLE,ARMSTRONG
16239,MARIENVILLE,FOREST
16240,MAYPORT,CLARION
16242,NEW BETHLEHEM,CLARION
16249,RURAL VALLEY,ARMSTRONG
16250,SAGAMORE,ARMSTRONG
16253,SEMINOLE,ARMSTRONG
16254,SHIPPENVILLE,CLARION
16145,SANDY LAKE,MERCER
16146,SHARON,MERCER
16148,HERMITAGE,MERCER
16150,SHARPSVILLE,MERCER
16155,VILLA MARIA,LAWRENCE
16156,VOLANT,LAWRENCE
16157,WAMPUM,LAWRENCE
16159,WEST MIDDLESEX,MERCER
16201,KITTANNING,ARMSTRONG
16210,ADRIAN,ARMSTRONG
16211,BEYER,INDIANA
16212,CADOGAN,ARMSTRONG
16221,CURLLSVILLE,CLARION
16222,DAYTON,ARMSTRONG
16223,DISTANT,ARMSTRONG
16224,FAIRMOUNT CITY,CLARION
16232,KNOX,CLARION
16233,LEEPER,CLARION
16234,LIMESTONE,CLARION
16235,LUCINDA,CLARION
16236,MC GRANN,ARMSTRONG
16244,NU MINE,ARMSTRONG
16245,OAK RIDGE,ARMSTRONG
16246,PLUMVILLE,INDIANA
16248,RIMERSBURG,CLARION
16255,SLIGO,CLARION
16256,SMICKSBURG,INDIANA
